TRIP_ID,TRAVEL_TIME
T1,718.8732592078904
T2,718.8732592078904
T3,718.8732592078904
T4,718.8732592078904
T5,718.8732592078904
T6,718.8732592078904
T7,718.8732592078904
T8,718.8732592078904
T9,718.8732592078904
T10,718.8732592078904
T11,718.8732592078904
T12,718.8732592078904
T13,718.8732592078904
T14,718.8732592078904
T15,718.8732592078904
T16,718.8732592078904
T17,718.8732592078904
T18,718.8732592078904
T19,718.8732592078904
T20,718.8732592078904
T21,718.8732592078904
T22,718.8732592078904
T23,718.8732592078904
T24,718.8732592078904
T25,718.8732592078904
T26,718.8732592078904
T27,718.8732592078904
T28,718.8732592078904
T29,718.8732592078904
T30,718.8732592078904
T31,718.8732592078904
T32,718.8732592078904
T33,718.8732592078904
T34,718.8732592078904
T35,718.8732592078904
T36,718.8732592078904
T37,718.8732592078904
T38,718.8732592078904
T39,718.8732592078904
T40,718.8732592078904
T41,718.8732592078904
T42,718.8732592078904
T43,718.8732592078904
T44,718.8732592078904
T45,718.8732592078904
T46,718.8732592078904
T47,718.8732592078904
T48,718.8732592078904
T49,718.8732592078904
T50,718.8732592078904
T51,718.8732592078904
T52,718.8732592078904
T53,718.8732592078904
T54,718.8732592078904
T55,718.8732592078904
T56,718.8732592078904
T57,718.8732592078904
T58,718.8732592078904
T59,718.8732592078904
T60,718.8732592078904
T61,718.8732592078904
T62,718.8732592078904
T63,718.8732592078904
T64,718.8732592078904
T65,718.8732592078904
T66,718.8732592078904
T67,718.8732592078904
T68,718.8732592078904
T69,718.8732592078904
T70,718.8732592078904
T71,718.8732592078904
T72,718.8732592078904
T73,718.8732592078904
T74,718.8732592078904
T75,718.8732592078904
T76,718.8732592078904
T77,718.8732592078904
T78,718.8732592078904
T79,718.8732592078904
T80,718.8732592078904
T81,718.8732592078904
T82,718.8732592078904
T83,718.8732592078904
T84,718.8732592078904
T85,718.8732592078904
T86,718.8732592078904
T87,718.8732592078904
T88,718.8732592078904
T90,718.8732592078904
T91,718.8732592078904
T92,718.8732592078904
T93,718.8732592078904
T94,718.8732592078904
T95,718.8732592078904
T96,718.8732592078904
T98,718.8732592078904
T99,718.8732592078904
T100,718.8732592078904
T101,718.8732592078904
T102,718.8732592078904
T103,718.8732592078904
T104,718.8732592078904
T107,718.8732592078904
T109,718.8732592078904
T110,718.8732592078904
T111,718.8732592078904
T112,718.8732592078904
T113,718.8732592078904
T114,718.8732592078904
T115,718.8732592078904
T116,718.8732592078904
T117,718.8732592078904
T118,718.8732592078904
T119,718.8732592078904
T120,718.8732592078904
T121,718.8732592078904
T122,718.8732592078904
T123,718.8732592078904
T124,718.8732592078904
T125,718.8732592078904
T126,718.8732592078904
T127,718.8732592078904
T128,718.8732592078904
T129,718.8732592078904
T130,718.8732592078904
T131,718.8732592078904
T132,718.8732592078904
T133,718.8732592078904
T134,718.8732592078904
T135,718.8732592078904
T136,718.8732592078904
T137,718.8732592078904
T138,718.8732592078904
T139,718.8732592078904
T140,718.8732592078904
T141,718.8732592078904
T142,718.8732592078904
T143,718.8732592078904
T144,718.8732592078904
T145,718.8732592078904
T146,718.8732592078904
T147,718.8732592078904
T148,718.8732592078904
T149,718.8732592078904
T151,718.8732592078904
T152,718.8732592078904
T153,718.8732592078904
T154,718.8732592078904
T155,718.8732592078904
T156,718.8732592078904
T157,718.8732592078904
T158,718.8732592078904
T159,718.8732592078904
T160,718.8732592078904
T161,718.8732592078904
T162,718.8732592078904
T163,718.8732592078904
T164,718.8732592078904
T166,718.8732592078904
T167,718.8732592078904
T168,718.8732592078904
T169,718.8732592078904
T170,718.8732592078904
T171,718.8732592078904
T172,718.8732592078904
T173,718.8732592078904
T174,718.8732592078904
T175,718.8732592078904
T176,718.8732592078904
T177,718.8732592078904
T178,718.8732592078904
T179,718.8732592078904
T180,718.8732592078904
T181,718.8732592078904
T182,718.8732592078904
T183,718.8732592078904
T184,718.8732592078904
T185,718.8732592078904
T186,718.8732592078904
T187,718.8732592078904
T188,718.8732592078904
T189,718.8732592078904
T190,718.8732592078904
T191,718.8732592078904
T192,718.8732592078904
T193,718.8732592078904
T194,718.8732592078904
T195,718.8732592078904
T196,718.8732592078904
